src_tokens,trg_tokens,src_tokens_word,trg_tokens_word,src_ids,trg_ids,src_ids_word,trg_ids_word,src_len,trg_len,src_len_word,trg_len_word
"['▁i', '▁have', '▁a', '▁gr', 'am', 'm', 'ar', '▁book', '.']","['▁म', 'स', 'ित', '▁व्या', 'कर', 'णको', '▁किताब', '▁छ', '▁', '।']","['▁i', '▁have', '▁a', '▁grammar', '▁book.']","['▁मसित', '▁व्याकरणको', '▁किताब', '▁छ', '▁।']","[2, 8, 65, 9, 513, 139, 2983, 45, 321, 4, 3]","[2, 6, 2938, 171, 1464, 913, 2067, 597, 13, 2926, 4, 3]","[2, 4, 13, 11, 1, 340, 3]","[2, 2795, 1, 229, 22, 14, 3]",11,12,7,7
"['▁i', '▁have', '▁not', '▁decided', '▁yet', '.']","['▁मैले', '▁अझै', '▁निर्णय', '▁गरेको', '▁छैन', '।']","['▁i', '▁have', '▁not', '▁decided', '▁yet.']","['▁मैले', '▁अझै', '▁निर्णय', '▁गरेको', '▁छैन।']","[2, 8, 65, 37, 999, 598, 4, 3]","[2, 88, 281, 374, 270, 73, 4, 3]","[2, 4, 13, 10, 359, 290, 3]","[2, 12, 66, 93, 67, 16, 3]",8,8,7,7
"['▁i', '▁know', '▁i', '▁have', '▁been', '▁shot', '.']","['▁मलाई', '▁गोली', '▁लागेको', '▁थाहा', '▁छ', '।']","['▁i', '▁know', '▁i', '▁have', '▁been', '▁shot.']","['▁मलाई', '▁गोली', '▁लागेको', '▁थाहा', '▁छ।']","[2, 8, 121, 8, 65, 265, 1892, 4, 3]","[2, 49, 2379, 416, 128, 13, 4, 3]","[2, 4, 39, 4, 13, 78, 2354, 3]","[2, 6, 978, 115, 20, 9, 3]",9,8,8,7
"['▁i', '▁liked', '▁what', '▁you', '▁said', '.']","['▁तपाईले', '▁भनेको', '▁कुरा', '▁मलाई', '▁मन', '▁पर्यो', '।']","['▁i', '▁liked', '▁what', '▁you', '▁said.']","['▁तपाईले', '▁भनेको', '▁कुरा', '▁मलाई', '▁मन', '▁पर्यो।']","[2, 8, 1422, 94, 21, 297, 4, 3]","[2, 454, 817, 195, 49, 124, 995, 4, 3]","[2, 4, 596, 23, 6, 743, 3]","[2, 120, 244, 40, 6, 25, 446, 3]",8,9,7,8
"['▁i', '▁liked', '▁what', '▁you', '▁said', '.']","['▁तिमीले', '▁भनेको', '▁कुरा', '▁मलाई', '▁मन', '▁पर्यो', '।']","['▁i', '▁liked', '▁what', '▁you', '▁said.']","['▁तिमीले', '▁भनेको', '▁कुरा', '▁मलाई', '▁मन', '▁पर्यो।']","[2, 8, 1422, 94, 21, 297, 4, 3]","[2, 358, 817, 195, 49, 124, 995, 4, 3]","[2, 4, 596, 23, 6, 743, 3]","[2, 87, 244, 40, 6, 25, 446, 3]",8,9,7,8
"['▁i', '▁must', '▁do', '▁that', '▁anyway', '.']","['▁मैले', '▁जस', 'री', '▁पनि', '▁त्यो', '▁गर्नुपर्छ', '।']","['▁i', '▁must', '▁do', '▁that', '▁anyway.']","['▁मैले', '▁जसरी', '▁पनि', '▁त्यो', '▁गर्नुपर्छ।']","[2, 8, 494, 35, 56, 2602, 4, 3]","[2, 88, 716, 221, 182, 135, 703, 4, 3]","[2, 4, 144, 12, 14, 1905, 3]","[2, 12, 1993, 31, 21, 231, 3]",8,9,7,7
"['▁i', '▁need', '▁you', '▁by', '▁my', '▁side', '.']","['▁मलाई', '▁तिम्रो', '▁साथ', '▁चाहिन्छ', '।']","['▁i', '▁need', '▁you', '▁by', '▁my', '▁side.']","['▁मलाई', '▁तिम्रो', '▁साथ', '▁चाहिन्छ।']","[2, 8, 212, 21, 269, 99, 1658, 4, 3]","[2, 49, 240, 971, 697, 4, 3]","[2, 4, 80, 6, 82, 27, 2058, 3]","[2, 6, 51, 1311, 262, 3]",9,7,8,6
"['▁i', '▁often', '▁work', '▁with', '▁tom', '.']","['▁म', '▁प्राय', '▁टमसँग', '▁काम', '▁गर्छु', '।']","['▁i', '▁often', '▁work', '▁with', '▁tom.']","['▁म', '▁प्राय', '▁टमसँग', '▁काम', '▁गर्छु।']","[2, 8, 616, 253, 126, 22, 4, 3]","[2, 6, 564, 452, 222, 437, 4, 3]","[2, 4, 223, 158, 37, 63, 3]","[2, 4, 749, 119, 52, 139, 3]",8,8,7,7
"['▁i', '▁ran', '▁to', 'ward', '▁the', '▁door', '.']","['▁म', '▁ढोका', 'तिर', '▁दौड', 'िए', '▁', '।']","['▁i', '▁ran', '▁toward', '▁the', '▁door.']","['▁म', '▁ढोकातिर', '▁दौडिए', '▁।']","[2, 8, 1057, 10, 1325, 23, 545, 4, 3]","[2, 6, 680, 1037, 1235, 608, 2926, 4, 3]","[2, 4, 405, 1, 8, 393, 3]","[2, 4, 2102, 2249, 14, 3]",9,9,7,6
"['▁i', '▁remember', '▁this', '▁place', '.']","['▁म', '▁यो', '▁ठाउँ', '▁सम्झन्छु', '।']","['▁i', '▁remember', '▁this', '▁place.']","['▁म', '▁यो', '▁ठाउँ', '▁सम्झन्छु।']","[2, 8, 706, 86, 902, 4, 3]","[2, 6, 68, 878, 1983, 4, 3]","[2, 4, 258, 22, 780, 3]","[2, 4, 10, 313, 814, 3]",7,7,6,6
"['▁i', '▁remember', '▁this', '▁place', '.']","['▁मलाई', '▁यो', '▁ठाउँ', '▁याद', '▁छ', '।']","['▁i', '▁remember', '▁this', '▁place.']","['▁मलाई', '▁यो', '▁ठाउँ', '▁याद', '▁छ।']","[2, 8, 706, 86, 902, 4, 3]","[2, 49, 68, 878, 527, 13, 4, 3]","[2, 4, 258, 22, 780, 3]","[2, 6, 10, 313, 152, 9, 3]",7,8,6,7
"['▁i', '▁want', '▁to', '▁be', '▁like', '▁you', '.']","['▁म', '▁तिमी', '▁जस्तै', '▁बन्न', '▁चाहन्छु', '।']","['▁i', '▁want', '▁to', '▁be', '▁like', '▁you.']","['▁म', '▁तिमी', '▁जस्तै', '▁बन्न', '▁चाहन्छु।']","[2, 8, 114, 10, 60, 133, 21, 4, 3]","[2, 6, 120, 889, 739, 191, 4, 3]","[2, 4, 40, 7, 30, 35, 48, 3]","[2, 4, 60, 266, 242, 41, 3]",9,8,8,7
"['▁i', '▁worked', '▁hard', '▁on', '▁that', '.']","['▁त्यसमा', '▁मैले', '▁कडा', '▁मेहनत', '▁गरेँ', '।']","['▁i', '▁worked', '▁hard', '▁on', '▁that.']","['▁त्यसमा', '▁मैले', '▁कडा', '▁मेहनत', '▁गरेँ।']","[2, 8, 1547, 525, 81, 56, 4, 3]","[2, 1300, 88, 2237, 2532, 2376, 4, 3]","[2, 4, 720, 267, 34, 65, 3]","[2, 435, 12, 905, 1222, 1779, 3]",8,8,7,7
"['▁i', '▁will', '▁be', '▁there', '▁at', '▁once', '.']","['▁म', '▁तत्कालै', '▁त्यहाँ', '▁जान्छु', '।']","['▁i', '▁will', '▁be', '▁there', '▁at', '▁once.']","['▁म', '▁तत्कालै', '▁त्यहाँ', '▁जान्छु।']","[2, 8, 102, 60, 161, 132, 913, 4, 3]","[2, 6, 1941, 349, 1004, 4, 3]","[2, 4, 26, 30, 51, 41, 737, 3]","[2, 4, 703, 88, 310, 3]",9,7,8,6
"['▁i', '▁will', '▁show', '▁you', '▁my', '▁room', '.']","['▁म', '▁तिमीलाई', '▁मेरो', '▁कोठा', '▁देख', 'ाउँछु', '।']","['▁i', '▁will', '▁show', '▁you', '▁my', '▁room.']","['▁म', '▁तिमीलाई', '▁मेरो', '▁कोठा', '▁देखाउँछु।']","[2, 8, 102, 605, 21, 99, 423, 4, 3]","[2, 6, 309, 121, 872, 162, 801, 4, 3]","[2, 4, 26, 320, 6, 27, 238, 3]","[2, 4, 74, 19, 299, 2219, 3]",9,9,8,7
"['▁i', '▁am', '▁apartment', '▁hun', 'ting', '.']","['▁म', '▁अपार्टमेन्ट', '▁खोज्दै', '▁छु', '।']","['▁i', '▁am', '▁apartment', '▁hunting.']","['▁म', '▁अपार्टमेन्ट', '▁खोज्दै', '▁छु।']","[2, 8, 104, 1877, 731, 508, 4, 3]","[2, 6, 1998, 637, 119, 4, 3]","[2, 4, 28, 1575, 1, 3]","[2, 4, 627, 193, 26, 3]",8,7,6,6
"['▁i', '▁am', '▁not', '▁even', '▁a', '▁mem', 'ber', '.']","['▁म', '▁सदस्य', '▁पनि', '▁होइन', '▁', '।']","['▁i', '▁am', '▁not', '▁even', '▁a', '▁member.']","['▁म', '▁सदस्य', '▁पनि', '▁होइन', '▁।']","[2, 8, 104, 37, 649, 9, 1502, 413, 4, 3]","[2, 6, 2543, 182, 371, 2926, 4, 3]","[2, 4, 28, 10, 235, 11, 1, 3]","[2, 4, 1296, 31, 835, 14, 3]",10,8,8,7
"['▁i', '▁am', '▁your', '▁new', '▁room', 'm', 'ate', '.']","['▁म', '▁तिम्रो', '▁नयाँ', '▁रू', 'म', 'मेट', '▁हुँ', '।']","['▁i', '▁am', '▁your', '▁new', '▁roommate.']","['▁म', '▁तिम्रो', '▁नयाँ', '▁रूममेट', '▁हुँ।']","[2, 8, 104, 108, 360, 423, 2983, 251, 4, 3]","[2, 6, 240, 737, 501, 2930, 2087, 140, 4, 3]","[2, 4, 28, 29, 135, 1, 3]","[2, 4, 51, 216, 2910, 48, 3]",10,10,7,7
"['▁i', '▁am', '▁your', '▁new', '▁room', 'm', 'ate', '.']","['▁म', '▁तिम्रो', '▁नयाँ', '▁कोठामा', '▁बस्ने', '▁साथी', '▁हुँ', '।']","['▁i', '▁am', '▁your', '▁new', '▁roommate.']","['▁म', '▁तिम्रो', '▁नयाँ', '▁कोठामा', '▁बस्ने', '▁साथी', '▁हुँ।']","[2, 8, 104, 108, 360, 423, 2983, 251, 4, 3]","[2, 6, 240, 737, 895, 998, 508, 140, 4, 3]","[2, 4, 28, 29, 135, 1, 3]","[2, 4, 51, 216, 257, 448, 186, 48, 3]",10,10,7,9
"['▁is', '▁tom', '▁afraid', '▁of', '▁mary', '?']","['▁के', '▁टम', '▁मेरीसँग', '▁डराउँछन्', '?']","['▁is', '▁tom', '▁afraid', '▁of', '▁mary?']","['▁के', '▁टम', '▁मेरीसँग', '▁डराउँछन्?']","[2, 32, 22, 745, 69, 110, 6, 3]","[2, 34, 16, 1013, 1967, 5, 3]","[2, 9, 5, 275, 20, 1124, 3]","[2, 7, 5, 329, 1040, 3]",8,7,7,6
"['▁is', '▁sugar', '▁good', '▁for', '▁you', '?']","['▁के', '▁तपाईंको', '▁लागि', '▁चिनी', '▁ठिक', '▁छ', '?']","['▁is', '▁sugar', '▁good', '▁for', '▁you?']","['▁के', '▁तपाईंको', '▁लागि', '▁चिनी', '▁ठिक', '▁छ?']","[2, 32, 2044, 223, 88, 21, 6, 3]","[2, 34, 698, 211, 1786, 1406, 13, 5, 3]","[2, 9, 1790, 79, 24, 107, 3]","[2, 7, 197, 42, 679, 538, 29, 3]",8,9,7,8
"['▁is', '▁that', '▁a', '▁real', '▁t', 'at', 't', 'oo', '?']","['▁के', '▁त्यो', '▁वास्तव', 'िक', '▁ट्या', 'टू', '▁हो', '?']","['▁is', '▁that', '▁a', '▁real', '▁tattoo?']","['▁के', '▁त्यो', '▁वास्तविक', '▁ट्याटू', '▁हो?']","[2, 32, 56, 9, 953, 7, 58, 2973, 93, 6, 3]","[2, 34, 135, 1548, 213, 1796, 2887, 56, 5, 3]","[2, 9, 14, 11, 696, 1, 3]","[2, 7, 21, 1, 2071, 35, 3]",11,10,7,7
"['▁it', '▁was', '▁a', '▁nice', '▁feeling', '.']","['▁यो', '▁एउटा', '▁राम्रो', '▁अ', 'नुभ', 'ू', 'ति', '▁थियो', '।']","['▁it', '▁was', '▁a', '▁nice', '▁feeling.']","['▁यो', '▁एउटा', '▁राम्रो', '▁अनुभूति', '▁थियो।']","[2, 63, 74, 9, 864, 1136, 4, 3]","[2, 68, 227, 175, 42, 225, 2966, 82, 105, 4, 3]","[2, 17, 19, 11, 344, 1, 3]","[2, 10, 47, 30, 1436, 23, 3]",8,11,7,7
"['▁it', '▁is', '▁ca', 'using', '▁problems', '.']","['▁यसले', '▁समस्या', '▁न', 'िम', '्', 'त्य', 'ाइरहेको', '▁छ', '▁', '।']","['▁it', '▁is', '▁causing', '▁problems.']","['▁यसले', '▁समस्या', '▁निम्त्याइरहेको', '▁छ', '▁।']","[2, 63, 32, 1870, 2580, 1518, 4, 3]","[2, 985, 642, 55, 71, 2928, 403, 2568, 13, 2926, 4, 3]","[2, 17, 9, 1, 1079, 3]","[2, 331, 227, 2321, 22, 14, 3]",8,12,6,7
"['▁it', '▁is', '▁not', '▁raining', '▁hard', '.']","['▁ठुलो', '▁पानी', '▁परेको', '▁छैन', '।']","['▁it', '▁is', '▁not', '▁raining', '▁hard.']","['▁ठुलो', '▁पानी', '▁परेको', '▁छैन।']","[2, 63, 32, 37, 1663, 525, 4, 3]","[2, 2397, 631, 815, 73, 4, 3]","[2, 17, 9, 10, 1142, 640, 3]","[2, 1039, 182, 239, 16, 3]",8,7,7,6
"['▁just', '▁do', '▁not', '▁go', '▁outside', '.']","['▁बस', '▁बाहिर', '▁नजा', 'नुहोस्', '।']","['▁just', '▁do', '▁not', '▁go', '▁outside.']","['▁बस', '▁बाहिर', '▁नजानुहोस्।']","[2, 263, 35, 37, 76, 1172, 4, 3]","[2, 444, 331, 963, 113, 4, 3]","[2, 76, 12, 10, 53, 754, 3]","[2, 274, 81, 2277, 3]",8,7,7,5
"['▁let', '▁us', '▁buy', '▁some', '▁apples', '.']","['▁केही', '▁स्याउ', '▁किन', 'ौं', '।']","['▁let', '▁us', '▁buy', '▁some', '▁apples.']","['▁केही', '▁स्याउ', '▁किनौं।']","[2, 254, 149, 527, 241, 1885, 4, 3]","[2, 215, 1522, 206, 144, 4, 3]","[2, 92, 91, 170, 101, 1755, 3]","[2, 44, 823, 1642, 3]",8,7,7,5
"['▁let', '▁us', '▁do', '▁this', '▁quiet', 'ly', '.']","['▁चुप', 'चा', 'प', 'संग', '▁गरौं', '।']","['▁let', '▁us', '▁do', '▁this', '▁quietly.']","['▁चुपचापसंग', '▁गरौं।']","[2, 254, 149, 35, 86, 1301, 113, 4, 3]","[2, 2252, 1155, 2944, 1649, 1099, 4, 3]","[2, 92, 91, 12, 22, 1, 3]","[2, 1931, 517, 3]",9,8,7,4
"['▁may', '▁i', '▁use', '▁your', '▁toilet', '?']","['▁के', '▁म', '▁तिम्रो', '▁शौचालय', '▁प्रयोग', '▁गर्न', '▁सक्छु', '?']","['▁may', '▁i', '▁use', '▁your', '▁toilet?']","['▁के', '▁म', '▁तिम्रो', '▁शौचालय', '▁प्रयोग', '▁गर्न', '▁सक्छु?']","[2, 448, 8, 739, 108, 2897, 6, 3]","[2, 34, 6, 240, 1551, 1137, 83, 223, 5, 3]","[2, 163, 4, 286, 29, 1, 3]","[2, 7, 4, 51, 604, 369, 11, 94, 3]",8,10,7,9
"['▁please', '▁take', '▁your', '▁time', '.']","['▁कृपया', '▁आफ्नो', '▁समय', '▁लिनुहोस्', '।']","['▁please', '▁take', '▁your', '▁time.']","['▁कृपया', '▁आफ्नो', '▁समय', '▁लिनुहोस्।']","[2, 278, 323, 108, 194, 4, 3]","[2, 306, 188, 340, 1980, 4, 3]","[2, 102, 98, 29, 124, 3]","[2, 73, 32, 105, 792, 3]",7,7,6,6
"['▁supp', 'l', 'ies', '▁are', '▁very', '▁low', '.']","['▁आ', 'पू', 'र्', 'ति', '▁धेरै', '▁कम', '▁छ', '।']","['▁supplies', '▁are', '▁very', '▁low.']","['▁आपूर्ति', '▁धेरै', '▁कम', '▁छ।']","[2, 867, 2982, 544, 73, 175, 1854, 4, 3]","[2, 51, 832, 10, 82, 93, 1671, 13, 4, 3]","[2, 1, 15, 46, 2732, 3]","[2, 1507, 13, 643, 9, 3]",9,10,6,6
"['▁tell', '▁tom', '▁what', '▁that', '▁is', '.']","['▁टमलाई', '▁भन्नुहोस्', '▁कि', '▁त्यो', '▁के', '▁हो', '।']","['▁tell', '▁tom', '▁what', '▁that', '▁is.']","['▁टमलाई', '▁भन्नुहोस्', '▁कि', '▁त्यो', '▁के', '▁हो।']","[2, 268, 22, 94, 56, 32, 4, 3]","[2, 116, 1018, 77, 135, 34, 56, 4, 3]","[2, 87, 5, 23, 14, 296, 3]","[2, 18, 455, 17, 21, 7, 15, 3]",8,9,7,8
"['▁thanks', '▁for', '▁the', '▁cook', 'ie', '.']","['▁कुकीज', '▁को', '▁लागी', '▁धन्यवाद', '।']","['▁thanks', '▁for', '▁the', '▁cookie.']","['▁कुकीज', '▁को', '▁लागी', '▁धन्यवाद।']","[2, 1386, 88, 23, 842, 273, 4, 3]","[2, 2478, 132, 1109, 699, 4, 3]","[2, 624, 24, 8, 1, 3]","[2, 924, 43, 387, 271, 3]",8,7,6,6
"['▁that', '▁book', '▁is', '▁sold', '▁out', '.']","['▁त्यो', '▁पुस्तक', '▁बिक्री', '▁भइ', 'सकेको', '▁छ', '।']","['▁that', '▁book', '▁is', '▁sold', '▁out.']","['▁त्यो', '▁पुस्तक', '▁बिक्री', '▁भइसकेको', '▁छ।']","[2, 56, 321, 32, 1516, 202, 4, 3]","[2, 135, 1136, 1913, 942, 1429, 13, 4, 3]","[2, 14, 187, 9, 1192, 272, 3]","[2, 21, 564, 1159, 2707, 9, 3]",8,9,7,7
"['▁that', '▁is', '▁not', '▁a', '▁bad', '▁idea', '.']","['▁त्यो', '▁नराम्रो', '▁विचार', '▁होइन', '।']","['▁that', '▁is', '▁not', '▁a', '▁bad', '▁idea.']","['▁त्यो', '▁नराम्रो', '▁विचार', '▁होइन।']","[2, 56, 32, 37, 9, 625, 716, 4, 3]","[2, 135, 1012, 1128, 371, 4, 3]","[2, 14, 9, 10, 11, 271, 534, 3]","[2, 21, 364, 600, 168, 3]",9,7,8,6
"['▁that', '▁must', '▁be', '▁exc', 'iting', '.']","['▁त्यो', '▁रोमाञ्चक', '▁हुनुपर्छ', '।']","['▁that', '▁must', '▁be', '▁exciting.']","['▁त्यो', '▁रोमाञ्चक', '▁हुनुपर्छ।']","[2, 56, 494, 60, 1063, 1279, 4, 3]","[2, 135, 1582, 1150, 4, 3]","[2, 14, 144, 30, 1, 3]","[2, 21, 594, 400, 3]",8,6,6,5
"['▁that', '▁is', '▁toms', '▁daughter', '.']","['▁ति', '▁टमकी', '▁छोरी', '▁हुन्', '।']","['▁that', '▁is', '▁toms', '▁daughter.']","['▁ति', '▁टमकी', '▁छोरी', '▁हुन्।']","[2, 56, 32, 295, 1352, 4, 3]","[2, 2137, 978, 2390, 370, 4, 3]","[2, 14, 9, 90, 1101, 3]","[2, 2127, 311, 1963, 155, 3]",7,7,6,6
"['▁the', '▁bus', '▁has', '▁just', '▁left', '.']","['▁बस', '▁भर्खरै', '▁छुट्यो', '।']","['▁the', '▁bus', '▁has', '▁just', '▁left.']","['▁बस', '▁भर्खरै', '▁छुट्यो।']","[2, 23, 392, 158, 263, 488, 4, 3]","[2, 444, 899, 1893, 4, 3]","[2, 8, 456, 44, 76, 568, 3]","[2, 274, 279, 684, 3]",8,6,7,5
"['▁the', '▁moon', '▁has', '▁come', '▁out', '.']","['▁च', 'न्द', '्र', 'मा', '▁निस्क', 'िसकेको', '▁छ', '▁', '।']","['▁the', '▁moon', '▁has', '▁come', '▁out.']","['▁चन्द्रमा', '▁निस्किसकेको', '▁छ', '▁।']","[2, 23, 2290, 158, 288, 202, 4, 3]","[2, 43, 324, 24, 29, 994, 1268, 13, 2926, 4, 3]","[2, 8, 1881, 44, 97, 272, 3]","[2, 1871, 2329, 22, 14, 3]",8,11,7,6
"['▁there', '▁was', '▁a', '▁th', 'ick', '▁f', 'og', '.']","['▁त्यहाँ', '▁बा', 'क्', 'लो', '▁कु', 'हिरो', '▁थियो', '।']","['▁there', '▁was', '▁a', '▁thick▁fog.']","['▁त्यहाँ', '▁बाक्लो', '▁कुहिरो', '▁थियो।']","[2, 161, 74, 9, 52, 332, 31, 637, 4, 3]","[2, 349, 617, 40, 153, 99, 2213, 105, 4, 3]","[2, 51, 19, 11, 1, 3]","[2, 88, 2601, 1663, 23, 3]",10,10,6,6
"['▁this', '▁is', '▁my', '▁wife', '▁mary', '.']","['▁यिनी', '▁मेरी', '▁श्रीमती', '▁मेरी', '▁हुन्', '।']","['▁this', '▁is', '▁my', '▁wife', '▁mary.']","['▁यिनी', '▁मेरी', '▁श्रीमती', '▁मेरी', '▁हुन्।']","[2, 86, 32, 99, 998, 110, 4, 3]","[2, 2429, 96, 701, 96, 370, 4, 3]","[2, 22, 9, 27, 566, 112, 3]","[2, 1229, 37, 801, 37, 155, 3]",8,8,7,7
"['▁this', '▁is', '▁the', '▁wrong', '▁key', '.']","['▁यो', '▁गलत', '▁चाबी', '▁हो', '।']","['▁this', '▁is', '▁the', '▁wrong', '▁key.']","['▁यो', '▁गलत', '▁चाबी', '▁हो।']","[2, 86, 32, 23, 613, 1351, 4, 3]","[2, 68, 791, 2384, 56, 4, 3]","[2, 22, 9, 8, 408, 1254, 3]","[2, 10, 232, 990, 15, 3]",8,7,7,6
"['▁this', '▁room', '▁is', '▁for', '▁rent', '.']","['▁यो', '▁कोठा', '▁भाडामा', '▁छ', '।']","['▁this', '▁room', '▁is', '▁for', '▁rent.']","['▁यो', '▁कोठा', '▁भाडामा', '▁छ।']","[2, 86, 423, 32, 88, 2351, 4, 3]","[2, 68, 872, 1918, 13, 4, 3]","[2, 22, 269, 9, 24, 2790, 3]","[2, 10, 299, 773, 9, 3]",8,7,7,6
"['▁this', '▁tea', '▁is', '▁too', '▁sweet', '.']","['▁यो', '▁चिया', '▁धेरै', '▁गु', 'ल', 'ियो', '▁छ', '।']","['▁this', '▁tea', '▁is', '▁too', '▁sweet.']","['▁यो', '▁चिया', '▁धेरै', '▁गुलियो', '▁छ।']","[2, 86, 1087, 32, 227, 2172, 4, 3]","[2, 68, 806, 93, 581, 2935, 275, 13, 4, 3]","[2, 22, 967, 9, 108, 2134, 3]","[2, 10, 234, 13, 1848, 9, 3]",8,10,7,7
"['▁tom', '▁can', '▁take', '▁anything', '.']","['▁टम', '▁जे', '▁पनि', '▁लिन', '▁सक्छ', '।']","['▁tom', '▁can', '▁take', '▁anything.']","['▁टम', '▁जे', '▁पनि', '▁लिन', '▁सक्छ।']","[2, 22, 100, 323, 376, 4, 3]","[2, 16, 390, 182, 729, 342, 4, 3]","[2, 5, 45, 98, 303, 3]","[2, 5, 101, 31, 246, 164, 3]",7,8,6,7
"['▁tom', '▁gr', 'abbed', '▁the', '▁cand', 'y', '.']","['▁टमले', '▁मिठाई', '▁समा', 'त', '्यो', '।']","['▁tom', '▁grabbed', '▁the', '▁candy.']","['▁टमले', '▁मिठाई', '▁समात्यो।']","[2, 22, 513, 2750, 23, 2411, 2985, 4, 3]","[2, 52, 2528, 1086, 2941, 75, 4, 3]","[2, 5, 2193, 8, 1, 3]","[2, 8, 1217, 1, 3]",9,8,6,5
"['▁tom', '▁is', '▁a', '▁fast', '▁think', 'er', '.']","['▁टम', '▁एक', '▁द', '्रु', 'त', '▁विचार', 'कर्', 'ता', '▁हो', '।']","['▁tom', '▁is', '▁a', '▁fast', '▁thinker.']","['▁टम', '▁एक', '▁द्रुत', '▁विचारकर्ता', '▁हो।']","[2, 22, 32, 9, 987, 160, 48, 4, 3]","[2, 16, 134, 50, 2127, 2941, 1128, 2055, 146, 56, 4, 3]","[2, 5, 9, 11, 740, 1, 3]","[2, 5, 24, 2251, 1, 15, 3]",9,12,7,7
"['▁tom', '▁is', '▁not', '▁interested', '.']","['▁टमलाई', '▁च', 'ा', 'सो', '▁छैन', '।']","['▁tom', '▁is', '▁not', '▁interested.']","['▁टमलाई', '▁चासो', '▁छैन।']","[2, 22, 32, 37, 1156, 4, 3]","[2, 116, 43, 2927, 186, 73, 4, 3]","[2, 5, 9, 10, 2097, 3]","[2, 18, 1887, 16, 3]",7,8,6,5
"['▁tom', '▁is', '▁washing', '▁dishes', '.']","['▁टम', '▁भ', 'ाँ', 'डा', '▁धुँदै', '▁छ', '।']","['▁tom', '▁is', '▁washing', '▁dishes.']","['▁टम', '▁भाँडा', '▁धुँदै', '▁छ।']","[2, 22, 32, 2189, 2358, 4, 3]","[2, 16, 26, 57, 513, 1855, 13, 4, 3]","[2, 5, 9, 1329, 1737, 3]","[2, 5, 2742, 724, 9, 3]",7,9,6,6
"['▁tom', '▁killed', '▁the', '▁sp', 'ider', '.']","['▁टमले', '▁मा', 'कुरा', 'लाई', '▁म', 'ारे', '।']","['▁tom', '▁killed', '▁the', '▁spider.']","['▁टमले', '▁माकुरालाई', '▁मारे।']","[2, 22, 1221, 23, 336, 1525, 4, 3]","[2, 52, 107, 1065, 19, 6, 300, 4, 3]","[2, 5, 553, 8, 1, 3]","[2, 8, 2800, 2822, 3]",8,9,6,5
"['▁tom', '▁likes', '▁to', '▁show', '▁off', '.']","['▁टमलाई', '▁देख', 'ाव', 'टी', '▁गर्न', '▁मनपर्छ', '।']","['▁tom', '▁likes', '▁to', '▁show', '▁off.']","['▁टमलाई', '▁देखावटी', '▁गर्न', '▁मनपर्छ।']","[2, 22, 691, 10, 605, 330, 4, 3]","[2, 116, 162, 1026, 418, 83, 750, 4, 3]","[2, 5, 231, 7, 320, 422, 3]","[2, 18, 2225, 11, 326, 3]",8,9,7,6
"['▁tom', '▁loves', '▁apple', '▁juice', '.']","['▁टमलाई', '▁स', '्य', 'ाउको', '▁जु', 'स', '▁मनपर्छ', '।']","['▁tom', '▁loves', '▁apple', '▁juice.']","['▁टमलाई', '▁स्याउको', '▁जुस', '▁मनपर्छ।']","[2, 22, 1246, 1633, 2565, 4, 3]","[2, 116, 14, 31, 1071, 1364, 2938, 750, 4, 3]","[2, 5, 470, 958, 2729, 3]","[2, 18, 1, 2030, 326, 3]",7,10,6,6
"['▁tom', '▁put', '▁away', '▁his', '▁to', 'ys', '.']","['▁टमले', '▁आफ्ना', '▁खेलौ', 'न', 'ाहरू', '▁राखे', '।']","['▁tom', '▁put', '▁away', '▁his', '▁toys.']","['▁टमले', '▁आफ्ना', '▁खेलौनाहरू', '▁राखे।']","[2, 22, 464, 601, 124, 10, 622, 4, 3]","[2, 52, 1114, 2374, 2929, 303, 2433, 4, 3]","[2, 5, 138, 383, 31, 1, 3]","[2, 8, 342, 1740, 1237, 3]",9,9,7,6
"['▁tom', '▁said', '▁he', '▁was', '▁dying', '.']","['▁टमले', '▁भन', 'ो', '▁कि', '▁ऊ', '▁मर्', 'दैछ', '।']","['▁tom', '▁said', '▁he', '▁was', '▁dying.']","['▁टमले', '▁भनो', '▁कि', '▁ऊ', '▁मर्दैछ।']","[2, 22, 297, 46, 74, 2892, 4, 3]","[2, 52, 291, 2933, 77, 196, 967, 924, 4, 3]","[2, 5, 95, 18, 19, 2818, 3]","[2, 8, 2725, 17, 38, 2792, 3]",8,10,7,7
"['▁tom', '▁wanted', '▁to', '▁succeed', '.']","['▁टम', '▁सफल', '▁हुन', '▁चाहन्थे', '।']","['▁tom', '▁wanted', '▁to', '▁succeed.']","['▁टम', '▁सफल', '▁हुन', '▁चाहन्थे।']","[2, 22, 482, 10, 1921, 4, 3]","[2, 16, 1741, 354, 1939, 4, 3]","[2, 5, 147, 7, 1603, 3]","[2, 5, 811, 90, 994, 3]",7,7,6,6
"['▁tom', '▁was', '▁also', '▁off', 'ended', '.']","['▁टम', '▁पनि', '▁आक', '्रो', 'श', 'ित', '▁थियो', '।']","['▁tom', '▁was', '▁also', '▁offended.']","['▁टम', '▁पनि', '▁आक्रोशित', '▁थियो।']","[2, 22, 74, 1887, 330, 1218, 4, 3]","[2, 16, 182, 1193, 95, 2967, 171, 105, 4, 3]","[2, 5, 19, 844, 1, 3]","[2, 5, 31, 1500, 23, 3]",8,10,6,6
